Waktu;grab_indonesia;gojek_indonesia;grab_malaysia;grab_singapura
2019-04-29T13;45;27;28;23
2019-04-29T14;40;27;26;21
2019-04-29T15;47;26;26;24
2019-04-29T16;47;28;29;26
2019-04-29T17;45;25;31;28
2019-04-29T18;43;22;28;23
2019-04-29T19;37;21;26;22
2019-04-29T20;33;21;21;23
2019-04-29T21;32;21;20;19
2019-04-29T22;32;22;20;17
2019-04-29T23;25;23;18;21
2019-04-30T00;30;23;17;19
2019-04-30T01;30;22;14;11
2019-04-30T02;28;23;17;12
2019-04-30T03;33;21;14;16
2019-04-30T04;29;18;19;13
2019-04-30T05;33;19;22;16
2019-04-30T06;48;22;25;21
2019-04-30T07;39;22;28;23
2019-04-30T08;35;21;27;24
2019-04-30T09;40;23;30;25
2019-04-30T10;40;24;30;28
2019-04-30T11;50;27;31;25
2019-04-30T12;52;28;31;25
2019-04-30T13;46;26;28;23
2019-04-30T14;46;25;31;26
2019-04-30T15;46;27;30;24
2019-04-30T16;52;28;33;26
2019-04-30T17;56;31;33;28
2019-04-30T18;60;31;32;31
2019-04-30T19;48;24;28;28
2019-04-30T20;43;23;26;23
2019-04-30T21;38;22;21;18
2019-04-30T22;40;26;20;18
2019-04-30T23;32;25;18;21
2019-05-01T00;35;28;17;23
2019-05-01T01;30;25;17;18
2019-05-01T02;27;20;18;17
2019-05-01T03;28;24;15;17
2019-05-01T04;27;20;19;20
2019-05-01T05;33;21;17;21
2019-05-01T06;43;23;23;22
2019-05-01T07;100;25;100;100
2019-05-01T08;55;25;31;32
2019-05-01T09;53;27;29;26
2019-05-01T10;55;28;33;29
2019-05-01T11;55;27;33;32
2019-05-01T12;54;29;34;28
2019-05-01T13;54;27;32;26
2019-05-01T14;50;28;26;23
2019-05-01T15;50;27;28;26
2019-05-01T16;49;27;30;27
2019-05-01T17;48;25;33;32
2019-05-01T18;44;21;25;30
2019-05-01T19;38;22;22;22
2019-05-01T20;36;21;23;21
2019-05-01T21;32;22;21;17
2019-05-01T22;33;23;22;19
2019-05-01T23;28;24;18;16
2019-05-02T00;29;24;17;14
2019-05-02T01;24;22;15;13
2019-05-02T02;20;14;14;12
2019-05-02T03;18;15;15;12
2019-05-02T04;26;18;17;14
2019-05-02T05;38;20;19;14
2019-05-02T06;49;27;27;25
2019-05-02T07;50;25;27;24
2019-05-02T08;43;25;28;32
2019-05-02T09;45;26;29;29
2019-05-02T10;48;27;29;35
2019-05-02T11;51;29;36;31
2019-05-02T12;53;29;38;27
2019-05-02T13;49;28;32;27
2019-05-02T14;47;28;30;23
2019-05-02T15;49;29;32;26
2019-05-02T16;52;30;30;31
2019-05-02T17;50;28;32;33
2019-05-02T18;46;24;27;29
2019-05-02T19;40;24;29;26
2019-05-02T20;35;23;24;23
2019-05-02T21;33;22;22;21
